,Unnamed: 0,iteration,id,created_at,created_at_dt,user_name,user_screen_name,user_id,user_is_verified,user_location,text,check_lt20250327,hashtags,urls,media,like_count,reply_count,retweet_count,quote_count,views_count,lang,possibly_sensitive,in_reply_to,quoted_tweet,place,response,code,code_imputed
0,0,0,1557065985760190464,Tue Aug 09 18:07:14 +0000 2022,2022-08-09 18:07:14+00:00,Steve Lloyd,SteveLloyd001,362140441,FALSE,Vancouver BC,"As BC's prize-winning PHO minimizes cutely-named 'monkeypox' on cue, quick reminder that both Joni Mitchell and Neil 'Shakey' Young suffered from cousin polio w millions of children not so long ago. Joni's later-in-life struggles...? Minimizing it is ignorant and dangerous.",,[],[],,2,0,1,0,,en,,,,"{'id': '2eb22037045b3689', 'name': 'Abbotsford', 'full_name': 'Abbotsford, British Columbia', 'country': 'Canada', 'country_code': 'CA', 'type': 'city', 'centroid': None, 'bounding_box': {'coordinates': [[[-122.461455, 49.002189], [-122.461455, 49.171804], [-122.072694, 49.171804], [-122.072694, 49.002189], [-122.461455, 49.002189]]], 'type': 'Polygon'}}","No, the passage is unrelated to mpox infection.

Reasoning:
The passage does not mention any individual contracting or being infected with mpox (monkeypox). Instead, it references well-known musicians Joni Mitchell and Neil Young, mentioning that they suffered from polio. The text also includes a comment about minimizing the issue of monkeypox and its potential dangers. However, these statements are not related to an actual case of someone contracting mpox.",0,0
1,1,0,1554362660992339969,Tue Aug 02 07:05:11 +0000 2022,2022-08-02 07:05:11+00:00,Steve Lloyd,SteveLloyd001,362140441,FALSE,Vancouver BC,"@lisapaigecogan @dianaberrent Judging by the last 2 years @bctf will have an essentially meaningless position on Monkeypox. Who knows though. It *could* regain its member responsibilities, relevance, societal influence with a little courage. The slightest bit might save lives.💪",,[],[],,4,1,1,0,,en,,1.5543523702297354e+18,,"{'id': '2eb22037045b3689', 'name': 'Abbotsford', 'full_name': 'Abbotsford, British Columbia', 'country': 'Canada', 'country_code': 'CA', 'type': 'city', 'centroid': None, 'bounding_box': {'coordinates': [[[-122.461455, 49.002189], [-122.461455, 49.171804], [-122.072694, 49.171804], [-122.072694, 49.002189], [-122.461455, 49.002189]]], 'type': 'Polygon'}}","No, the passage is unrelated to mpox infection.

Reasoning: The given text does not mention any specific individual contracting or being infected by monkeypox (mpox). Instead, it discusses the potential relevance and actions of @bctf (likely British Columbia Teachers' Federation) in relation to monkeypox over the past two years. There is no direct reference to anyone getting infected with mpox.",0,0
2,2,0,1552932278484865024,Fri Jul 29 08:21:21 +0000 2022,2022-07-29 08:21:21+00:00,Louis,ouiespnsa,1163465272256131072,FALSE,"British Columbia, Canada",straight ppl using the monkeypox as an excuse to be vile and homophobic is so beyond me,,[],[],,9,0,2,0,,en,,,,"{'id': '2eb22037045b3689', 'name': 'Abbotsford', 'full_name': 'Abbotsford, British Columbia', 'country': 'Canada', 'country_code': 'CA', 'type': 'city', 'centroid': None, 'bounding_box': {'coordinates': [[[-122.461455, 49.002189], [-122.461455, 49.171804], [-122.072694, 49.171804], [-122.072694, 49.002189], [-122.461455, 49.002189]]], 'type': 'Polygon'}}","No, the passage is unrelated to mpox infection.

Reasoning: The given text does not mention any specific individual or their health status. Instead, it discusses a general observation about how some people are using concerns about monkeypox (referred to as ""monkeypox"") in a negative and discriminatory way. There is no information provided that would suggest anyone has contracted mpox.",0,0
3,3,0,1548057019130658819,Fri Jul 15 21:28:49 +0000 2022,2022-07-15 21:28:49+00:00,Brent Hodson,brent_hodson,16752234,FALSE,"London, Ontario","Thanks @HIMtweets for collecting and sharing all this info about Mpox (monkeypox) and yes, @Fraserhealth / Abbotsford has clinics for men/transgender people who self-identify as gay, bisexual, or other men who have sex with men  - Mpox Bulletin https://t.co/jqMIo4zZDz",,[],"[{'display_url': 'checkhimout.ca/mpox-bulletin/', 'expanded_url': 'https://checkhimout.ca/mpox-bulletin/', 'url': 'https://t.co/jqMIo4zZDz', 'indices': [245, 268]}]",,3,0,3,0,,en,FALSE,,,"{'id': '2eb22037045b3689', 'name': 'Abbotsford', 'full_name': 'Abbotsford, British Columbia', 'country': 'Canada', 'country_code': 'CA', 'type': 'city', 'centroid': None, 'bounding_box': {'coordinates': [[[-122.461455, 49.002189], [-122.461455, 49.171804], [-122.072694, 49.171804], [-122.072694, 49.002189], [-122.461455, 49.002189]]], 'type': 'Polygon'}}","No, the passage is unrelated to mpox infection.

Reasoning:
The provided text does not mention any specific individual contracting monkeypox (mpox). Instead, it discusses information about clinics for men and transgender people who self-identify as gay, bisexual, or other men who have sex with men in Fraserhealth / Abbotsford. While this relates to public health efforts regarding mpox, it does not indicate that anyone has contracted the virus.",0,0
4,4,0,1860503607721832777,Sun Nov 24 02:00:01 +0000 2024,2024-11-24 02:00:01+00:00,Air 106.1 & DiscoverAirdrie.com,AIR1061FM,44916479,FALSE,"Airdrie, Alberta, Canada","First Canadian case of more severe mpox strain confirmed in Manitoba, risk 'remains low' #Nationalnews
Click image for story 🔽🔽 https://t.co/wNEVlCp3s0",1,['Nationalnews'],"[{'display_url': 'discoverairdrie.com/articles/first…', 'expanded_url': 'https://discoverairdrie.com/articles/first-canadian-case-of-more-severe-mpox-strain-confirmed-in-manitoba-risk-remains-low', 'url': 'https://t.co/wNEVlCp3s0', 'indices': [128, 151]}]",,1,0,0,0,195,en,FALSE,,,,"The passage implies that someone got infected with mpox (monkeypox). The text states ""First Canadian case of more severe mpox strain confirmed in Manitoba,"" which directly indicates that a person has been diagnosed with a specific strain of monkeypox. Therefore, the answer is:

Yes, someone got infected.

This conclusion is based on the explicit mention of a confirmed case of a more severe strain of mpox in Manitoba, Canada.",1,1
5,5,0,1860326915267035228,Sat Nov 23 14:17:54 +0000 2024,2024-11-23 14:17:54+00:00,Barrie 360,Barrie360,310044382,TRUE,"Barrie, Ontario",First Canadian case of more severe mpox strain confirmed in Manitoba. https://t.co/KQuIZ5kenO,1,[],"[{'display_url': 'barrie360.com/more-severe-mp…', 'expanded_url': 'https://barrie360.com/more-severe-mpox-strain-manitoba/', 'url': 'https://t.co/KQuIZ5kenO', 'indices': [70, 93]}]",,0,0,0,0,443,en,FALSE,,,,"The given passage states ""First Canadian case of more severe mpox strain confirmed in Manitoba."" This implies that someone has contracted a specific strain of mpox (monkeypox). Therefore, the answer is:

Yes, someone got infected.

Reasoning: The passage directly mentions a confirmed case of a more severe strain of mpox in Manitoba, Canada. This clearly indicates that at least one person has been diagnosed with an infection of this virus.",1,1
6,6,0,1860322412270878943,Sat Nov 23 14:00:00 +0000 2024,2024-11-23 14:00:00+00:00,Barrie 360,Barrie360,310044382,TRUE,"Barrie, Ontario","Ontario's colleges and universities say international student cap is taking a toll; another case of mpox in Canada; Toronto Maple Leafs can't seem to escape injuries.

Here's your Daily Kickstart. https://t.co/yW1R4irZzE",,[],"[{'display_url': 'megaphone.link/COBR8764678441', 'expanded_url': 'https://megaphone.link/COBR8764678441', 'url': 'https://t.co/yW1R4irZzE', 'indices': [197, 220]}]",,0,1,0,0,480,en,FALSE,,,,"No, the passage is unrelated to mpox infection.

Reasoning: The given text does not mention any specific individual contracting mpox (monkeypox). It only states ""another case of mpox in Canada,"" which is a general statement about the situation in Canada and does not provide information about who has contracted the disease. Therefore, based on this passage alone, we cannot determine if someone specifically got infected with mpox.",0,0
7,7,0,1546338402508967936,Mon Jul 11 03:39:39 +0000 2022,2022-07-11 03:39:39+00:00,Travis Vincenzo,travis_demaria,1476354973403426818,FALSE,"Toronto, Ontario","@benryanwriter @Wamaid Not true. Have you ever been to a straight swingers night? There are plenty of straight sex clubs, plenty of sexual events among straight people. It just so happened that monkeypox entered the gay community. But let’s not pretend gay men are the only ones having sex.",,[],[],,1,2,0,0,,en,,1.5463249839951544e+18,,"{'id': '11ec8106d4d1a9a4', 'name': 'Barrie', 'full_name': 'Barrie, Ontario', 'country': 'Canada', 'country_code': 'CA', 'type': 'city', 'centroid': None, 'bounding_box': {'coordinates': [[[-79.746259, 44.3181308], [-79.746259, 44.4243953], [-79.6034335, 44.4243953], [-79.6034335, 44.3181308], [-79.746259, 44.3181308]]], 'type': 'Polygon'}}","No, the passage is unrelated to mpox infection.

Reasoning:
The passage does not mention any specific individual contracting mpox (monkeypox). Instead, it discusses the spread of monkeypox and makes a general statement about the involvement of the gay community in sexual events where monkeypox may have entered. The text does not provide information that directly implies someone got infected with mpox.",0,0
8,8,0,1528108291720634369,Sat May 21 20:19:42 +0000 2022,2022-05-21 20:19:42+00:00,آدم زاد,saimshaheen82,500160094,FALSE,"Barrie, Ontario",What the hell is #MonkeypoxVirus https://t.co/pPhXpEKbft,,['MonkeypoxVirus'],[],"[{'display_url': 'pic.x.com/pPhXpEKbft', 'expanded_url': 'https://x.com/saimshaheen82/status/1528108291720634369/photo/1', 'ext_alt_text': 'Shocked Episode 2 GIF by Friends', 'id_str': '1528108280882647041', 'indices': [33, 56], 'media_key': '16_1528108280882647041', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/FTTuYpxX0AEwlaQ.jpg', 'type': 'animated_gif', 'url': 'https://t.co/pPhXpEKbft', 'ext_media_availability': {'status': 'Available'}, 'sizes': {'large': {'h': 400, 'w': 480, 'resize': 'fit'}, 'medium': {'h': 400, 'w': 480, 'resize': 'fit'}, 'small': {'h': 400, 'w': 480, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 400, 'width': 480, 'focus_rects': []}, 'video_info': {'aspect_ratio': [6, 5], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/FTTuYpxX0AEwlaQ.mp4'}]}, 'media_results': {'result': {'media_key': '16_1528108280882647041'}}}]",0,0,0,0,,en,FALSE,,,"{'id': '11ec8106d4d1a9a4', 'name': 'Barrie', 'full_name': 'Barrie, Ontario', 'country': 'Canada', 'country_code': 'CA', 'type': 'city', 'centroid': None, 'bounding_box': {'coordinates': [[[-79.746259, 44.3181308], [-79.746259, 44.4243953], [-79.6034335, 44.4243953], [-79.6034335, 44.3181308], [-79.746259, 44.3181308]]], 'type': 'Polygon'}}","No, the passage is unrelated to mpox infection.

Reasoning: The provided text ""What the hell is #MonkeypoxVirus https://t.com/pPhXpEKbft"" appears to be a query or question about what monkeypox virus is. It does not contain any information that would imply someone has contracted or been infected with the mpox (monkeypox) virus. The text is more likely seeking general information about the virus rather than reporting on an infection case.",0,0
9,9,0,1552433175028465664,Wed Jul 27 23:18:06 +0000 2022,2022-07-27 23:18:06+00:00,rich,itsallaboutrich,15991699,FALSE,"Belleville, ON","When you fall into the high risk category for monkeypox, but can’t get a vaccine. https://t.co/jgnmsnKI85",,[],[],"[{'display_url': 'pic.x.com/jgnmsnKI85', 'expanded_url': 'https://x.com/itsallaboutrich/status/1552433175028465664/photo/1', 'id_str': '1552433170754273285', 'indices': [82, 105], 'media_key': '3_1552433170754273285', 'media_url_https': 'https://pbs.twimg.com/media/FYtZvmBXgAUyOHy.jpg', 'type': 'photo', 'url': 'https://t.co/jgnmsnKI85', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 365, 'w': 1127, 'resize': 'fit'}, 'medium': {'h': 365, 'w': 1127, 'resize': 'fit'}, 'small': {'h': 220, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 365, 'width': 1127, 'focus_rects': [{'x': 0, 'y': 0, 'w': 652, 'h': 365}, {'x': 0, 'y': 0, 'w': 365, 'h': 365}, {'x': 0, 'y': 0, 'w': 320, 'h': 365}, {'x': 49, 'y': 0, 'w': 183, 'h': 365}, {'x': 0, 'y': 0, 'w': 1127, 'h': 365}]}, 'media_results': {'result': {'media_key': '3_1552433170754273285'}}}]",0,0,0,0,,en,FALSE,,,"{'id': '45050c66e7c3f027', 'name': 'Belleville', 'full_name': 'Belleville, Ontario', 'country': 'Canada', 'country_code': 'CA', 'type': 'city', 'centroid': None, 'bounding_box': {'coordinates': [[[-77.473293, 44.130704], [-77.473293, 44.348885], [-77.235719, 44.348885], [-77.235719, 44.130704], [-77.473293, 44.130704]]], 'type': 'Polygon'}}","No, the passage is unrelated to mpox infection.

Reasoning: The given text does not provide any information about someone contracting or being infected with mpox (monkeypox). Instead, it mentions that an individual falls into a high-risk category for monkeypox but cannot get a vaccine. This statement indicates a situation where a person might be at risk of exposure to the virus and is unable to receive preventive measures such as vaccination, but it does not imply or state that anyone has actually contracted the disease.",0,0
